"hashtags","avg_hashtags_per_tweet","avg_mentions_per_tweet","proportion_original_tweet","proportion_retweet","proportion_reply","proportion_quote_tweet","proportion_contains_media","proportion_contains_URL","avg_account_age","avg_account_total_tweets","avg_account_total_likes","avg_account_total_followers","avg_account_total_following","avg_account_total_lists","posts_per_hashtag","accounts_per_hashtag","avg_posts_per_account","avg_calendar_weeks_participated","avg_mentioned_by_other_users_per_account","avg_mentioned_other_users_per_account","avg_two_way_mentions_per_account"
"bced",2.53742114559677,0.592026242745395,0.304419965893902,0.656004670384539,0.0395753637215591,0.0639566145857338,0.209184960888216,0.462427453949029,1792.13670357436,6494.34441233141,3618.63535645472,1485.845977842,974.539258188825,69.2025529865125,65091,8304,7.83851156069364,2.83417630057803,4.58706647398844,5.18111753371869,0.575385356454721
"edtechbc",1.77356181150551,0.416156670746634,0.800195886385896,0.19588638589618,0.0039177277179236,0.0323212536728697,0.0428396572827417,0.913096695226438,2064.09660873091,9407.43502824859,3431.57062146893,2419.07344632768,1776.0395480226,179.485875706215,1021,177,5.7683615819209,1.9774011299435,1.28813559322034,2.15819209039548,0.186440677966102
"mbedchat",1.65097629009763,0.394351464435146,0.438800489596083,0.370563035495716,0.190636474908201,0.0373317013463892,0.103207810320781,0.200139470013947,1552.41028828519,4641.5447042641,3009.93397524072,1522.46354883081,1000.26547455296,81.9601100412655,6536,727,8.99037138927098,2.23658872077029,3.30674002751032,4.16918844566713,1.24759284731774
"nbed",3.43632075471698,0.790094339622642,0.541507024265645,0.452107279693487,0.00638569604086846,0.103448275862069,0.278301886792453,0.469339622641509,1739.70691795378,6145.54310344828,2976.60344827586,1700.81465517241,1243.52155172414,118.487068965517,783,232,3.375,2.10344827586207,1.90948275862069,2.62068965517241,0.556034482758621
"nsed",4.38461538461539,0.45409429280397,0.479191438763377,0.492271105826397,0.0285374554102259,0.0368608799048751,0.0942928039702233,0.69727047146402,1839.33510367114,10118.128440367,5262.33027522936,2475.83486238532,1213.14067278287,78.308868501529,841,327,2.57186544342508,1.65137614678899,1.47706422018349,1.96024464831804,0.36085626911315
"onedchat",2.33765932792584,0.390730011587485,0.364504139212705,0.509883426254435,0.12561243453286,0.0886129413752323,0.214136732329085,0.194206257242178,1623.77479438464,5898.676021461,4384.19562525794,1920.21213371853,1321.13041683863,116.919933966158,11838,2423,4.8856789104416,1.66611638464713,2.35286834502683,3.15394139496492,0.651671481634338
"onted",2.90101216454638,0.57256941220169,0.341082570550787,0.645393215722294,0.0135242137269186,0.0534950749057739,0.281456031200669,0.594855604048658,1593.7330583335,4415.30960548885,2920.76096544964,1386.28020093114,878.646655231561,65.0514579759863,31573,8162,3.86829208527322,2.26366086743445,2.20178877726048,3.05243812790983,0.331168831168831
"eduqc",2.60419313850064,0.442397289284202,0.514435123651814,0.474016777426735,0.0115480989214511,0.0652576533391437,0.0961457009741635,0.715586615840745,1759.03254248204,6074.97244732577,2089.52620205294,1857.52512155592,956.491626148028,86.269584008644,9179,1851,4.95894111291194,2.35440302539168,2.37007023230686,3.05132360886008,0.304700162074554
"saskedchat",1.48839406207827,0.339811066126856,0.426892499135845,0.230268464108768,0.342839036755387,0.0516188500979375,0.158029689608637,0.267341430499325,1748.94239093316,6983.05882352941,4478.00386996904,2104.40557275542,1449.79256965944,119.953560371517,17358,1292,13.4349845201238,2.27708978328173,3.53328173374613,4.33049535603715,1.45046439628483
"sked",4.27027027027027,0.178378378378378,0.558912386706949,0.374622356495468,0.0664652567975831,0.0362537764350453,0.113513513513514,0.572972972972973,1697.45438381012,20388.5273631841,8824.48258706468,1782.85074626866,978.55223880597,74.3034825870647,331,201,1.64676616915423,1.35323383084577,0.54726368159204,0.800995024875622,0.109452736318408
